"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.907298348E2,6.650246954E1,2.575774116E1,1.159855539E2,1.407040891E0,9.630120850E1,4.728642092E0,3.385923951E0
1.917298306E2,6.650246995E1,2.575777908E1,1.159532878E2,1.475976807E0,9.630120850E1,4.728677601E0,3.385874359E0
1.927298265E2,6.650246561E1,2.575782173E1,1.166272733E2,1.544483045E0,9.630120850E1,4.726910390E0,3.388341069E0
1.937298223E2,6.650246568E1,2.575785593E1,1.167294273E2,1.517802572E0,9.630120850E1,4.726811480E0,3.388479049E0
1.947298179E2,6.650246438E1,2.575789860E1,1.170571273E2,1.541672400E0,9.630120850E1,4.729630807E0,3.384542726E0
1.957298138E2,6.650246364E1,2.575793963E1,1.166824330E2,1.551186424E0,9.630120850E1,4.730420399E0,3.383439062E0
1.967298104E2,6.650245546E1,2.575796729E1,1.173387897E2,1.498193876E0,9.630120850E1,4.729488171E0,3.384742040E0
1.977298061E2,6.650245312E1,2.575800834E1,1.166143920E2,1.448919129E0,9.919992065E1,4.729385115E0,3.384886035E0
1.987298020E2,6.650246638E1,2.575804135E1,1.168965791E2,1.444632892E0,9.630120850E1,4.730497354E0,3.383331467E0
1.997297984E2,6.650245769E1,2.575808470E1,1.185491879E2,1.532208597E0,9.630120850E1,4.733928658E0,3.378528748E0
2.007297941E2,6.650244618E1,2.575811805E1,1.194260375E2,1.503100846E0,1.112261963E2,4.733705437E0,3.378841498E0
2.017297895E2,6.650243322E1,2.575814735E1,1.192223836E2,1.578033131E0,1.195484924E2,4.732389196E0,3.380684773E0
2.027297858E2,6.650242087E1,2.575817317E1,1.195412608E2,1.586811484E0,1.195484924E2,4.730428947E0,3.383427110E0
2.037297815E2,6.650240679E1,2.575819804E1,1.191867656E2,1.531398261E0,1.195484924E2,4.729235426E0,3.385095171E0
2.047297779E2,6.650239969E1,2.575823936E1,1.188540762E2,1.530884430E0,1.195484924E2,4.731042141E0,3.382569629E0
2.057297741E2,6.650239723E1,2.575827657E1,1.168261345E2,1.215672645E0,1.144185181E2,4.732938078E0,3.379916298E0
2.067297691E2,6.650238824E1,2.575831872E1,1.174788896E2,1.465870909E0,1.144185181E2,4.735344934E0,3.376543408E0
2.077297660E2,6.650238573E1,2.575836153E1,1.188072052E2,1.547998306E0,1.165378113E2,4.735760576E0,3.375960426E0
2.087297617E2,6.650238364E1,2.575839985E1,1.198200717E2,1.471622717E0,1.165378113E2,4.737953433E0,3.372882195E0
2.097297574E2,6.650238072E1,2.575843784E1,1.197551352E2,1.503925993E0,1.165378113E2,4.738450117E0,3.372184384E0
